Cluster,avg review,review count,cost for 2,1st Most Common Feature,2nd Most Common Feature,3rd Most Common Feature,4th Most Common Feature,5th Most Common Feature
0,3.614102564102567,27.102564102564102,18.852564102564102,Bakery, Cafe, Desserts, Chinese, Italian
1,3.7028901734104007,55.653179190751445,59.94219653179191,Italian, Pizza, Sandwich, Mediterranean, European
2,3.543981481481479,44.28472222222222,35.888888888888886, Asian,Chinese,Thai,Vietnamese,Korean
3,3.5017391304347814,26.860869565217392,24.208695652173912,Fast Food, Burger, Middle Eastern, Italian, Pizza
4,3.6761316872427927,53.40329218106996,47.135802469135804, Japanese,Sushi, Asian, Korean, Thai
5,3.6255,40.595,33.115,Pizza, Fast Food, Italian, Sandwich, Middle Eastern
6,3.509354838709677,26.874193548387098,24.335483870967742,Cafe, Desserts, Bakery, Breakfast, Coffee and Tea
7,3.4429268292682886,34.64878048780488,52.65121951219512,Bar Food, American, Canadian, British, Grill
8,3.5819697759249602,41.48097967691506,39.15633142261595,Chinese,Middle Eastern,Diner,Mediterranean,Caribbean
9,3.5705882352941165,56.962566844919785,60.13368983957219,Canadian, Bar Food, Grill, Diner, Breakfast
10,3.557407407407407,36.958333333333336,34.041666666666664,Indian, Pakistani, Desserts, Hakka Chinese, Asian
11,3.679411764705882,93.77941176470588,37.69117647058823,Mexican, Fast Food, Latin American, Sandwich, Spanish
12,3.594573643410854,32.17829457364341,20.426356589147286,Desserts, Cafe, Ice Cream, Bakery, Frozen Yogurt
13,3.492737430167596,32.21787709497207,36.74860335195531, Chinese, Asian,Cantonese,Dim Sum, Cantonese
14,3.5298850574712635,50.827586206896555,53.91379310344828,American, Bar Food, Canadian, Grill, Diner
