,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,featured in,Google Addresses,Lat,Lng,Postal Codes
0,QUICK BITES,Banh Mi Boys,4.7,940,"Queen Street West, Fashion District","392 Queen Street West, Toronto",Sandwich,25,"Pocket Friendly, Super Sandwiches","392 Queen St W, Toronto, ON M5V 2A6, Canada",43.648827000000004,-79.39697009999998,M5V
1,CASUAL DINING,KINKA IZAKAYA,4.7,1164,"Church Street, Church And Wellesley","398 Church Street, Toronto M5B 2A2 2A2","Japanese, Asian",55,Unique Dining,"398 Church St, Toronto, ON M5B 2A2, Canada",43.66043020000001,-79.37893249999998,M5B
2,CASUAL DINING,Pai,4.9,613,"Duncan Street, Entertainment District","18 Duncan Street, Toronto","Thai, Asian",50,,"18 Duncan St, Toronto, ON M5H 3G8, Canada",43.6478695,-79.3886849,M5H
3,CASUAL DINING,Salad King,4.2,1262,"Yonge Street, Downtown Yonge","340 Yonge Street, Toronto M5B 1R8","Thai, Asian",30,,"340 Yonge St, Toronto, ON M5B 1R8, Canada",43.6576479,-79.38172840000001,M5B
4,CASUAL DINING,Pizzeria Libretto,4.5,1008,"Ossington Avenue, Trinity Bellwoods","221 Ossington Avenue, Toronto M6J 2Z8","Pizza, Italian",50,Hipster Hangouts,"221 Ossington Ave, Toronto, ON M6J 2Z8, Canada",43.64900170000001,-79.4203433,M6J
5,QUICK BITES,The Stockyards,4.6,734,"Saint Clair Avenue West, Forest Hill","699 St Clair Avenue West, Toronto M6C 1B2","BBQ, Burger",25,"Kickass Burgers, Barbecue & Grill, Grill My Cheese, Super Sandwiches","699 St Clair Ave W, Toronto, ON M6C 1B2, Canada",43.681345799999995,-79.426147,M6C
6,CASUAL DINING,Grand Electric,4.4,725,"Queen Street West, Brockton Village","1330 Queen Street West, Toronto",Mexican,40,"Mexican Magic, Hipster Hangouts","1330 Queen St W, Toronto, ON M6K 1L4, Canada",43.64177369999999,-79.43160970000002,M6K
7,CASUAL DINING,Richmond Station,4.8,490,Financial District,"1 Richmond Street West, Suite 120, Toronto M5H 3W4","Italian, Canadian",80,,"120-1 Richmond St W, Toronto, ON M5H 3W4, Canada",43.65078,-79.38371090000003,M5H
8,FINE DINING,Canoe,4.4,680,"Wellington Street West, Financial District","66 Wellington St. W, TD Bank Tower, 54th Floor, Toronto M5K 1H6 1H6","Canadian, Bar Food",150,"Date Night, Happy Herbivores","66 Wellington St W 54th floor, Toronto, ON M5K 1H6, Canada",43.6476696,-79.3810141,M5K
9,CASUAL DINING,Barque Smokehouse,4.3,651,"Roncesvalles Avenue, Roncesvalles Village","299 Roncesvalles Avenue, Toronto M6R 2M3","BBQ, Grill",70,Barbecue & Grill,"299 Roncesvalles Ave, Toronto, ON M6R 2M3, Canada",43.647988500000004,-79.4495441,M6R
10,CASUAL DINING,Terroni,4.1,950,"Queen Street West, Trinity Bellwoods","720 Queen Street W, Toronto, ON M6J 1E8","Italian, Pizza",65,Date Night,"720 Queen St W, Toronto, ON M5V 2B5, Canada",43.6463059,-79.40916700000002,M5V
11,FINE DINING,Auberge du Pommier,4.5,644,"Yonge Street, North York","4150 Yonge St., Toronto, ON M2P 2C6",French,150,Date Night,"4150 Yonge St, North York, ON M2P 2C6, Canada",43.746854299999995,-79.4077453,M2P
