,occasion,name,avg review,review count,neighborhood,address,cuisines,cost for 2,featured in
0,CASUAL DINING,Pizzeria Libretto,4.5,"(1,010 Reviews)","Ossington Avenue, Trinity Bellwoods","221 Ossington Avenue, Toronto M6J 2Z8","['Pizza', 'Italian']",CA$50,['Hipster Hangouts']
1,CASUAL DINING,KINKA IZAKAYA,4.6,"(1,166 Reviews)","Church Street, Church And Wellesley","398 Church Street, Toronto M5B 2A2 2A2","['Japanese', 'Asian']",CA$55,['Unique Dining']
2,CASUAL DINING,Pai,4.9,(614 Reviews),"Duncan Street, Entertainment District","18 Duncan Street, Toronto","['Thai', 'Asian']",CA$50,[]
3,QUICK BITES,Banh Mi Boys,4.7,(941 Reviews),"Queen Street West, Fashion District","392 Queen Street West, Toronto",['Sandwich'],CA$25,['Pocket Friendly']
4,QUICK BITES,The Stockyards,4.6,(734 Reviews),"Saint Clair Avenue West, Forest Hill","699 St Clair Avenue West, Toronto M6C 1B2","['BBQ', 'Burger']",CA$25,"['Kickass Burgers, Barbecue & Grill, Grill My Cheese']"
5,CASUAL DINING,Grand Electric,4.4,(725 Reviews),"Queen Street West, Brockton Village","1330 Queen Street West, Toronto",['Mexican'],CA$40,"['Mexican Magic, Hipster Hangouts']"
6,CASUAL DINING,Salad King,4.2,"(1,262 Reviews)","Yonge Street, Downtown Yonge","340 Yonge Street, Toronto M5B 1R8","['Thai', 'Asian']",CA$30,[]
7,CASUAL DINING,Gusto 101,4.5,(507 Reviews),Fashion District,"101 Portland Street, Toronto M5V 2N3","['Pizza', 'Italian']",CA$75,['Mamma Mia!']
8,CASUAL DINING,Richmond Station,4.8,(490 Reviews),Financial District,"1 Richmond Street West, Suite 120, Toronto M5H 3W4","['Italian', 'Canadian']",CA$80,[]
9,FINE DINING,Canoe,4.5,(676 Reviews),"Wellington Street West, Financial District","66 Wellington St. W, TD Bank Tower, 54th Floor, Toronto M5K 1H6 1H6","['Canadian', 'Bar Food']",CA$150,"['Date Night, Happy Herbivores']"
10,CASUAL DINING,Barque Smokehouse,4.3,(650 Reviews),"Roncesvalles Avenue, Roncesvalles Village","299 Roncesvalles Avenue, Toronto M6R 2M3","['BBQ', 'Grill']",CA$70,['Barbecue & Grill']
11,CASUAL DINING,Lee,4.5,(572 Reviews),"King Street West, Fashion District","601 King Street West, Toronto M5V 1M5","['Asian Fusion', 'Asian']",CA$85,['Great Chinese']
12,CASUAL DINING,Terroni,4.1,(948 Reviews),"Queen Street West, Trinity Bellwoods","720 Queen Street W, Toronto M6J 1E8","['Italian', 'Pizza']",CA$65,['Date Night']
13,QUICK BITES,The Burger's Priest,4.2,(780 Reviews),"Queen Street East, The Beaches","1636, Queen St. E, Toronto",['Burger'],CA$30,"['Kickass Burgers, Pocket Friendly']"
14,CASUAL DINING,Rodney's Oyster House,4.6,(474 Reviews),Fashion District,"469 King Street West, Toronto M5V 1K4",['Seafood'],CA$75,['Super Seafood']
15,CASUAL DINING,Bar Isabel,4.8,(414 Reviews),"College Street, Dufferin Grove","797 College Street, Toronto M6G 1C7","['Spanish', 'Tapas', 'Bar Food']",CA$150,['Date Night']
16,CASUAL DINING,La Carnita,4.3,(446 Reviews),Little Italy,"501 College Street, Toronto M6G1A6",['Mexican'],CA$35,['Mexican Magic']
17,CASUAL DINING,Messini,4.4,(610 Reviews),"Danforth Avenue, The Danforth","445 Danforth Avenue, Toronto M4K 1P2",['Greek'],CA$40,[]
18,CASUAL DINING,WVRST,4.4,(461 Reviews),"King Street West, Niagara","609 King Street West, Toronto M5V 1M5",['German'],CA$40,['Craft Beer']
19,QUICK BITES,Seven Lives - Tacos Y Mariscos,4.9,(310 Reviews),"Kensington Avenue, Kensington-Chinatown","69 Kensington Avenue, Toronto M5T 2K2",['Mexican'],CA$25,"['Mexican Magic, Pocket Friendly']"
20,CASUAL DINING,Mildred's Temple Kitchen,4.2,(392 Reviews),"Hanna Avenue, Liberty Village","85 Hanna Avenue, Suite 104 Toronto M6K 3S3","['Fusion', 'Canadian']",CA$80,"['Weekend Brunches, Great Breakfasts, Happy Herbivores, Grill My Cheese']"
21,CASUAL DINING,Le Sélect Bistro,4.4,(491 Reviews),Fashion District,"432 Wellington Street West, Toronto M5V 1E3",['French'],CA$85,[]
22,CASUAL DINING,Buca,4.5,(433 Reviews),"King Street West, Fashion District","604 King Street West, Toronto M5V 1M6",['Italian'],CA$80,[]
23,CASUAL DINING,Grazie Ristorante,4.2,(694 Reviews),"Yonge Street, Yonge & Eglinton","2373 Yonge Street, Toronto M4P 2C8",['Italian'],CA$60,[]
24,CASUAL DINING,Momofuku Noodle Bar,3.3,(543 Reviews),"University Avenue, Entertainment District",190 University Avenue M5H 0A3,"['Japanese', 'Asian']",CA$60,['Ramen']
25,CASUAL DINING,El Catrin Destileria,3.9,(456 Reviews),"Tank House Lane, Distillery District","18 Tank House Lane, Distillery District, Toronto M5A 3C4","['Mexican', 'Tapas']",CA$45,['Mexican Magic']
